Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"T4",2N3704,TO92,2N3704,Central Semiconductor Corp,DK,2N3704CS-ND,TRANS NPN 30V,TO-92,REF23
2,"R4, R24",4.7k,0805,RMCF0805FT4K70,Stackpole Electronics Inc,DK,RMCF0805FT4K70CT-ND,RES 4.7K OHM 1/8W 1%,0805,REF32
3,"C1, C5, C6",6.8nF,0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R,0805,REF24
1,"R9",8.2k,0805,RMCF0805FT8K20,Stackpole Electronics Inc,DK,RMCF0805FT8K20CT-ND,RES 8.2K OHM 1/8W 1% ,0805,REF34
2,"R2, R3",10k,0805,RMCF0805FT10K0,Stackpole Electronics Inc,DK,RMCF0805FT10K0CT-ND,RES 10K OHM 1/8W 1%,0805,REF36
1,"R27",10k Log,POTENTIOMETER-PTV09-HORIZ,PTV09A-4020F-A103,Bourns Inc.,DK,PTV09A-4020F-A103-ND,POT 10K OHM 9MM SQ .05W HORIZ LOG,THT,REF20
1,"C24",10nF,0805,GRM216R71H103KA01D,Murata Electronics North America,DK,490-1664-1-ND,CAP CER 10000PF 50V 10% X7R,0805,REF31
2,"R32, R33",15k,0805,RMCF0805FT15K0,Stackpole Electronics Inc,DK,RMCF0805FT15K0CT-ND,RES 15K OHM 1/8W 1%,0805,REF46
3,"R1, R36, R38",22k,0805,RMCF0805FT22K0,Stackpole Electronics Inc,DK,RMCF0805FT22K0CT-ND,RES 22K OHM 1/8W 1%,0805,REF35
1,"R15",22k Log,POTENTIOMETER-PTV09-HORIZ,PTV09A-4025F-A203,Bourns Inc.,DK,PTV09A-4025F-A203-ND,POT 20K OHM 9MM SQ .05W HORIZ LOG,THT,REF53
1,"C21",22nF,0805,CL21B223KBANNNC,Samsung Electro-Mechanics America Inc,DK,1276-1081-1-ND,CAP CER 0.022UF 50V 10% X7R,0805,REF29
1,"R39",27k,0805,RMCF0805FT27K0,Stackpole Electronics Inc,DK,RMCF0805FT27K0CT-ND,RES 27K OHM 1/8W 1%,0805,REF48
2,"C2, C3",27nF,0805,CC0805KRX7R9BB273,Yageo,DK,311-1139-1-ND,CAP CER 0.027UF 50V 10% X7R,0805,REF25
1,"R29",33k,0805,RMCF0805FT33K0,Stackpole Electronics Inc,DK,RMCF0805FT33K0CT-ND,RES 33K OHM 1/8W 1%,0805,REF44
1,"C9",33uF / 6.3v,PANASONIC_VS_B-2,EEE-1AA330WAR,Panasonic Electronic Components,DK,PCE4572CT-ND,CAP ALUM 33UF 10V 20%,PAN_VS_B,REF8
