Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
08055C182KAT2A	AVX Corporation	DK	478-1374-1-ND	CAP CER 1800PF 50V 10% X7R	0805
GRM216R71H103KA01D	Murata Electronics North America	DK	490-1664-1-ND	CAP CER 10000PF 50V 10% X7R	0805
RMCF0805FT4K70	Stackpole Electronics Inc	DK	RMCF0805FT4K70CT-ND	RES 4.7K OHM 1/8W 1%	0805
RMCF0805FT100K	Stackpole Electronics Inc	DK	RMCF0805FT100KCT-ND	RES 100K OHM 1/8W 1%	0805
RMCF0805FT8K20	Stackpole Electronics Inc	DK	RMCF0805FT8K20CT-ND	RES 8.2K OHM 1/8W 1% 	0805
RMCF0805FT22K0	Stackpole Electronics Inc	DK	RMCF0805FT22K0CT-ND	RES 22K OHM 1/8W 1%	0805
RMCF0805FT10K0	Stackpole Electronics Inc	DK	RMCF0805FT10K0CT-ND	RES 10K OHM 1/8W 1%	0805
RMCF0805FT1M00	Stackpole Electronics Inc	DK	RMCF0805FT1M00CT-ND	RES 1M OHM 1/8W 1%	0805
RMCF0805FT47K0	Stackpole Electronics Inc	DK	RMCF0805FT47K0CT-ND	RES 47K OHM 1/8W 1%	0805
CRCW0805470KFKEA	Vishay Dale	DK	541-470KCCT-ND	RES 470K OHM 1/8W 1%	0805
RMCF0805FT1K00	Stackpole Electronics Inc	DK	RMCF0805FT1K00CT-ND	RES 1K OHM 1/8W 1%	0805
RMCF0805FT330K	Stackpole Electronics Inc	DK	RMCF0805FT330KCT-ND	RES 330K OHM 1/8W 1%	0805
RMCF0805FT300K	Stackpole Electronics Inc	DK	RMCF0805FT300KCT-ND	RES 300K OHM 1/8W 1%	0805
RMCF0805FT100R	Stackpole Electronics Inc	DK	RMCF0805FT100RCT-ND	RES 100 OHM 1/8W 1%	0805
RMCF0805FT33K0	Stackpole Electronics Inc	DK	RMCF0805FT33K0CT-ND	RES 33K OHM 1/8W 1%	0805
RMCF0805FT330R	Stackpole Electronics Inc	DK	RMCF0805FT330RCT-ND	RES 330 OHM 1/8W 1%	0805
RMCF0805FT15K0	Stackpole Electronics Inc	DK	RMCF0805FT15K0CT-ND	RES 15K OHM 1/8W 1%	0805
RC0805FR-072M2L	Yageo	DK	311-2.20MCRCT-ND	RES 2.2M OHM 1/8W 1%	0805
RMCF0805FT27K0	Stackpole Electronics Inc	DK	RMCF0805FT27K0CT-ND	RES 27K OHM 1/8W 1%	0805
RMCF0805FT680R	Stackpole Electronics Inc	DK	RMCF0805FT680RCT-ND	RES 680 OHM 1/8W 1%	0805
RMCF0805FT820R	Stackpole Electronics Inc	DK	RMCF0805FT820RCT-ND	RES 820 OHM 1/8W 1%	0805
RMCF0805FT220R	Stackpole Electronics Inc	DK	RMCF0805FT220RCT-ND	RES 220 OHM 1/8W 1%	0805
RMCF0805FT2K20	Stackpole Electronics Inc	DK	RMCF0805FT2K20CT-ND	RES 2.2K OHM 1/8W 1%	0805
PTV09A-4025F-A203	Bourns Inc.	DK	PTV09A-4025F-A203-ND	POT 20K OHM 9MM SQ .05W HORIZ LOG	THT
RMCF0805FT82K0	Stackpole Electronics Inc	DK	RMCF0805FT82K0CT-ND	RES 82K OHM 1/8W 1%	0805
RMCF0805FT2K70	Stackpole Electronics Inc	DK	RMCF0805FT2K70CT-ND	RES 2.7K OHM 1/8W 1%	0805
RC0805FR-07820KL	Yageo	DK	311-820KCRCT-ND	RES 820K OHM 1/8W 1%	0805
